iter	Passed	Remaining
0	0	297
1	1	270
2	2	259
3	2	248
4	3	241
5	4	238
6	4	235
7	5	231
8	6	230
9	6	228
10	7	225
11	8	227
12	8	228
13	9	228
14	10	228
15	10	226
16	11	225
17	12	223
18	12	222
19	13	221
20	14	219
21	14	218
22	15	219
23	16	218
24	16	217
25	17	216
26	18	215
27	18	214
28	19	213
29	19	212
30	20	211
31	21	210
32	21	209
33	22	209
34	23	208
35	23	207
36	24	206
37	25	205
38	25	205
39	26	204
40	26	203
41	27	202
42	28	201
43	28	200
44	29	200
45	30	200
46	30	199
47	31	198
48	32	197
49	32	196
50	33	196
51	34	195
52	34	194
53	35	193
54	35	192
55	36	192
56	37	191
57	37	190
58	38	189
59	39	189
60	39	188
61	40	187
62	40	186
63	41	185
64	42	185
65	42	184
66	43	183
67	44	183
68	44	182
69	45	182
70	46	181
71	47	181
72	47	180
73	48	180
74	49	179
75	49	179
76	50	178
77	51	178
78	51	177
79	52	176
80	53	176
81	53	175
82	54	175
83	55	174
84	55	174
85	56	173
86	57	173
87	57	172
88	58	171
89	59	171
90	59	170
91	60	169
92	61	168
93	61	168
94	62	167
95	62	166
96	63	165
97	64	165
98	64	164
99	65	163
100	66	162
101	66	162
102	67	161
103	67	160
104	68	159
105	69	159
106	69	158
107	70	157
108	71	157
109	71	156
110	72	156
111	73	155
112	73	154
113	74	154
114	75	153
115	75	152
116	76	152
117	76	151
118	77	150
119	78	149
120	78	148
121	79	147
122	79	147
123	80	146
124	81	145
125	81	145
126	82	144
127	82	143
128	83	143
129	84	142
130	84	141
131	85	141
132	86	141
133	87	140
134	88	140
135	88	139
136	89	138
137	89	138
138	90	137
139	91	136
140	91	136
141	92	135
142	93	134
143	93	134
144	94	133
145	94	132
146	95	131
147	96	131
148	96	130
149	97	129
150	98	129
151	98	128
152	99	127
153	99	127
154	100	126
155	101	126
156	101	125
157	102	124
158	103	123
159	103	123
160	104	122
161	105	121
162	105	121
163	106	120
164	106	119
165	107	119
166	108	118
167	108	117
168	109	117
169	110	116
170	110	115
171	111	115
172	111	114
173	112	113
174	113	113
175	113	112
176	114	111
177	115	111
178	115	110
179	116	109
180	116	109
181	117	108
182	118	107
183	118	107
184	119	106
185	119	105
186	120	105
187	121	104
188	121	103
189	122	103
190	123	102
191	123	101
192	124	101
193	124	100
194	125	99
195	126	99
196	126	98
197	127	97
198	128	97
199	128	96
200	129	95
201	130	95
202	130	94
203	131	94
204	132	93
205	133	93
206	133	92
207	134	91
208	135	91
209	135	90
210	136	89
211	136	89
212	137	88
213	138	87
214	138	87
215	139	86
216	139	85
217	140	85
218	141	84
219	141	83
220	142	83
221	143	82
222	143	81
223	144	81
224	145	80
225	145	79
226	146	79
227	146	78
228	147	77
229	148	77
230	148	76
231	149	76
232	150	75
233	150	74
234	151	74
235	151	73
236	152	72
237	153	72
238	153	71
239	154	70
240	155	70
241	155	69
242	156	68
243	157	68
244	157	67
245	158	66
246	159	66
247	159	65
248	160	65
249	160	64
250	161	63
251	162	63
252	162	62
253	163	61
254	163	61
255	164	60
256	165	59
257	165	59
258	166	58
259	167	57
260	167	57
261	168	56
262	168	55
263	169	55
264	170	54
265	170	53
266	171	53
267	172	52
268	172	52
269	173	51
270	174	50
271	174	50
272	175	49
273	175	48
274	176	48
275	177	47
276	177	46
277	178	46
278	179	45
279	179	44
280	180	44
281	180	43
282	181	42
283	182	42
284	182	41
285	183	41
286	183	40
287	184	39
288	185	39
289	185	38
290	186	37
291	187	37
292	187	36
293	188	35
294	189	35
295	189	34
296	190	33
297	191	33
298	191	32
299	192	32
300	193	31
301	193	30
302	194	30
303	195	29
304	195	28
305	196	28
306	197	27
307	198	27
308	198	26
309	199	25
310	200	25
311	200	24
312	201	23
313	202	23
314	202	22
315	203	21
316	204	21
317	204	20
318	205	19
319	206	19
320	206	18
321	207	18
322	208	17
323	208	16
324	209	16
325	210	15
326	210	14
327	211	14
328	212	13
329	212	12
330	213	12
331	214	11
332	215	10
333	215	10
334	216	9
335	217	9
336	217	8
337	218	7
338	219	7
339	219	6
340	220	5
341	221	5
342	221	4
343	222	3
344	222	3
345	223	2
346	224	1
347	225	1
348	225	0
349	226	0
