iter	RMSE
175	5.059746517
176	5.052776225
177	5.047230193
178	5.043434112
179	5.040606087
180	5.037144877
181	5.0349282
182	5.029084223
183	5.026258778
184	5.024265621
185	5.022550187
186	5.018601905
187	5.014146108
188	5.010525154
189	5.005161624
190	5.000786744
191	4.998756316
192	4.995650878
193	4.991995264
194	4.989015358
195	4.982267461
196	4.977651328
197	4.972180921
198	4.968248804
199	4.965117578
200	4.961749138
201	4.958518401
202	4.954878122
203	4.952792657
204	4.947533064
205	4.946477734
206	4.944468607
207	4.942981381
208	4.939655587
209	4.937439633
210	4.933504808
211	4.93026967
212	4.927999649
213	4.926133295
214	4.922294247
215	4.918881958
216	4.916670202
217	4.912182672
218	4.910238896
219	4.906012654
220	4.901678907
221	4.898836844
222	4.895831059
223	4.892272298
224	4.890907121
225	4.888991438
226	4.884137082
227	4.882383568
228	4.878796188
229	4.87540311
230	4.873640436
231	4.87012358
232	4.866536541
233	4.862580963
234	4.858253774
235	4.855199259
236	4.850770513
237	4.849023173
238	4.843597242
239	4.841538064
240	4.837369856
241	4.834380692
242	4.831269703
243	4.828651627
244	4.825634137
245	4.822020991
246	4.820048162
247	4.816277259
248	4.813555436
249	4.812157911
250	4.809061235
251	4.807425639
252	4.803778513
253	4.80151893
254	4.799019889
255	4.798382771
256	4.796333796
257	4.793279382
258	4.791836127
259	4.788773746
260	4.785620293
261	4.783197501
262	4.779564143
263	4.775877769
264	4.773853908
265	4.773108303
266	4.770120922
267	4.767675409
268	4.760976996
269	4.758845453
270	4.757438005
271	4.75547209
272	4.752394981
273	4.749664603
274	4.747599407
275	4.744567372
276	4.743417877
277	4.741081933
278	4.739412546
279	4.737765162
280	4.73451482
281	4.733436219
282	4.73009963
283	4.728132876
284	4.725683217
285	4.723374895
286	4.720418079
287	4.718017526
288	4.714308601
289	4.708638882
290	4.70460245
291	4.70026257
292	4.698377237
293	4.697346032
294	4.694498657
295	4.69071237
296	4.689786078
297	4.688738915
298	4.685526104
299	4.684638761
300	4.680813758
301	4.678795302
302	4.67828296
303	4.675264611
304	4.673838467
305	4.671408964
306	4.669016173
307	4.666144187
308	4.663470327
309	4.662193678
310	4.658994458
311	4.656491703
312	4.654106548
313	4.651159607
314	4.646809371
315	4.644165457
316	4.642406724
317	4.640091638
318	4.638941993
319	4.636825531
320	4.633315374
321	4.633036826
322	4.631106164
323	4.627633195
324	4.626212698
325	4.624990358
326	4.624274281
327	4.620105542
328	4.617867795
329	4.615599469
330	4.613844218
331	4.61238008
332	4.611088011
333	4.608537019
334	4.606642551
335	4.604445078
336	4.602170016
337	4.600925558
338	4.599004144
339	4.596506247
340	4.590739265
341	4.587447022
342	4.585384646
343	4.584242094
344	4.584085081
345	4.581839097
346	4.58156848
347	4.578886242
348	4.574517617
349	4.569888939
